ID,Datacenter_location_input,Network_zone_Input,Environment_input,application_input,Vcenter,Vmware_datacenter,Vmware_cluster,Vmware_datastore_keyword,Vmware_datastore_name,Vmware_networks,Subnet_name,Vlan,Subnet_address,Subnet_gateway,Subnet_netmask,DNS1,DNS2,DNS3,DNS_Suffix,DNS_prefix,Timezone
18,DC1B,EDZ,PRODUCTION,AP/BG/FS/VR/NW/SE/FT/MS/LN/BK/CA,xf-s-vcsap01p.xe.abb.com,XF-COMP,XF-DMZCLU1,DMZ,XF_PRIMERA_DL360_DMZ_001/XF_PRIMERA_DMZ_002,eDMZ-VLAN-3517,XF-EDZ-PRD-APP-194.32-27,VLAN 3517,10.17.194.32/27,10.17.194.33,255.255.255.224,10.17.106.6,10.16.7.13,10.16.7.12,xe.abb.com,XF,W. Europe Standard Time
19,DC1B,IDZ,PRODUCTION,AP/BG/FS/VR/NW/SE/FT/MS/LN/BK/CA,xf-s-vcsap01p.xe.abb.com,XF-COMP,XF-DMZCLU1,DMZ,XF_PRIMERA_DL360_DMZ_001/XF_PRIMERA_DMZ_002,iDMZ-VLAN-3000,XF-IDZ-PRD-APP-164.0-27,VLAN 3000,10.17.164.0/27,10.17.164.1,255.255.255.224,10.17.106.6,10.16.7.13,10.16.7.12,xe.abb.com,XF,W. Europe Standard Time
20,DC1B,IDZ,PRODUCTION,AP/BG/FS/VR/NW/SE/FT/MS/LN/BK/CA,xf-s-vcsap01p.xe.abb.com,XF-COMP,XF-DMZCLU1,DMZ,XF_PRIMERA_DL360_DMZ_001/XF_PRIMERA_DMZ_002,iDMZ-VLAN-3001,XF-IDZ-PRD-APP-164.32-27,VLAN 3001,10.17.164.32/27,10.17.164.33,255.255.255.224,10.17.106.6,10.16.7.13,10.16.7.12,xe.abb.com,XF,W. Europe Standard Time
21,DC1B,IDZ,PRODUCTION,AP/BG/FS/VR/NW/SE/FT/MS/LN/BK/CA,xf-s-vcsap01p.xe.abb.com,XF-COMP,XF-DMZCLU1,DMZ,XF_PRIMERA_DL360_DMZ_001/XF_PRIMERA_DMZ_002,iDMZ-VLAN-3002,XF-IDZ-PRD-APP-164.64-27,VLAN 3002,10.17.164.64/27,10.17.164.65,255.255.255.224,10.17.106.6,10.16.7.13,10.16.7.12,xe.abb.com,XF,W. Europe Standard Time
22,DC1B,IDZ,PRODUCTION,AP/BG/FS/VR/NW/SE/FT/MS/LN/BK/CA,xf-s-vcsap01p.xe.abb.com,XF-COMP,XF-DMZCLU1,DMZ,XF_PRIMERA_DL360_DMZ_001/XF_PRIMERA_DMZ_002,iDMZ-VLAN-3003,XF-IDZ-PRD-APP-164.96-27,VLAN 3003,10.17.164.96/27,10.17.164.97,255.255.255.224,10.17.106.6,10.16.7.13,10.16.7.12,xe.abb.com,XF,W. Europe Standard Time
23,DC1B,IDZ,PRODUCTION,AP/BG/FS/VR/NW/SE/FT/MS/LN/BK/CA,xf-s-vcsap01p.xe.abb.com,XF-COMP,XF-DMZCLU1,DMZ,XF_PRIMERA_DL360_DMZ_001/XF_PRIMERA_DMZ_002,iDMZ-VLAN-3004,XF-IDZ-PRD-APP-164.128-27,VLAN 3004,10.17.164.128/27,10.17.164.129,255.255.255.224,10.17.106.6,10.16.7.13,10.16.7.12,xe.abb.com,XF,W. Europe Standard Time
24,DC1B,IDZ,PRODUCTION,AP/BG/FS/VR/NW/SE/FT/MS/LN/BK/CA,xf-s-vcsap01p.xe.abb.com,XF-COMP,XF-DMZCLU1,DMZ,XF_PRIMERA_DL360_DMZ_001/XF_PRIMERA_DMZ_002,iDMZ-VLAN-3005,XF-IDZ-PRD-APP-164.160-27,VLAN 3005,10.17.164.160/27,10.17.164.161,255.255.255.224,10.17.106.6,10.16.7.13,10.16.7.12,xe.abb.com,XF,W. Europe Standard Time
25,DC1B,IDZ,PRODUCTION,AP/BG/FS/VR/NW/SE/FT/MS/LN/BK/CA,xf-s-vcsap01p.xe.abb.com,XF-COMP,XF-DMZCLU1,DMZ,XF_PRIMERA_DL360_DMZ_001/XF_PRIMERA_DMZ_002,iDMZ-VLAN-3006,XF-IDZ-PRD-APP-164.192-27,VLAN 3006,10.17.164.192/27,10.17.164.193,255.255.255.224,10.17.106.6,10.16.7.13,10.16.7.12,xe.abb.com,XF,W. Europe Standard Time
26,DC1B,IDZ,PRODUCTION,AP/BG/FS/VR/NW/SE/FT/MS/LN/BK/CA,xf-s-vcsap01p.xe.abb.com,XF-COMP,XF-DMZCLU1,DMZ,XF_PRIMERA_DL360_DMZ_001/XF_PRIMERA_DMZ_002,iDMZ-VLAN-3007,XF-IDZ-PRD-APP-164.224-27,VLAN 3007,10.17.164.224/27,10.17.164.225,255.255.255.224,10.17.106.6,10.16.7.13,10.16.7.12,xe.abb.com,XF,W. Europe Standard Time
27,DC1B,IDZ,PRODUCTION,FE/BE,xf-s-vcsap01p.xe.abb.com,XF-COMP,XF-DMZCLU1,DMZ,XF_PRIMERA_DL360_DMZ_001/XF_PRIMERA_DMZ_002,iDMZ-VLAN-3008,XF-IDZ-PRD-WEB-165.0-27,VLAN 3008,10.17.165.0/27,10.17.165.1,255.255.255.224,10.17.106.6,10.16.7.13,10.16.7.12,xe.abb.com,XF,W. Europe Standard Time
28,DC1B,IDZ,PRODUCTION,FE/BE,xf-s-vcsap01p.xe.abb.com,XF-COMP,XF-DMZCLU1,DMZ,XF_PRIMERA_DL360_DMZ_001/XF_PRIMERA_DMZ_002,iDMZ-VLAN-3009,XF-IDZ-PRD-WEB-165.32-27,VLAN 3009,10.17.165.32/27,10.17.165.33,255.255.255.224,10.17.106.6,10.16.7.13,10.16.7.12,xe.abb.com,XF,W. Europe Standard Time
29,DC1B,IDZ,PRODUCTION,FE/BE,xf-s-vcsap01p.xe.abb.com,XF-COMP,XF-DMZCLU1,DMZ,XF_PRIMERA_DL360_DMZ_001/XF_PRIMERA_DMZ_002,iDMZ-VLAN-3010,XF-IDZ-PRD-WEB-165.64-27,VLAN 3010,10.17.165.64/27,10.17.165.65,255.255.255.224,10.17.106.6,10.16.7.13,10.16.7.12,xe.abb.com,XF,W. Europe Standard Time
30,DC1B,IDZ,PRODUCTION,FE/BE,xf-s-vcsap01p.xe.abb.com,XF-COMP,XF-DMZCLU1,DMZ,XF_PRIMERA_DL360_DMZ_001/XF_PRIMERA_DMZ_002,iDMZ-VLAN-3011,XF-IDZ-PRD-WEB-165.96-27,VLAN 3011,10.17.165.96/27,10.17.165.97,255.255.255.224,10.17.106.6,10.16.7.13,10.16.7.12,xe.abb.com,XF,W. Europe Standard Time
31,DC1B,IDZ,PRODUCTION,FE/BE,xf-s-vcsap01p.xe.abb.com,XF-COMP,XF-DMZCLU1,DMZ,XF_PRIMERA_DL360_DMZ_001/XF_PRIMERA_DMZ_002,iDMZ-VLAN-3012,XF-IDZ-PRD-WEB-165.128-27,VLAN 3012,10.17.165.128/27,10.17.165.129,255.255.255.224,10.17.106.6,10.16.7.13,10.16.7.12,xe.abb.com,XF,W. Europe Standard Time
32,DC1B,IDZ,PRODUCTION,FE/BE,xf-s-vcsap01p.xe.abb.com,XF-COMP,XF-DMZCLU1,DMZ,XF_PRIMERA_DL360_DMZ_001/XF_PRIMERA_DMZ_002,iDMZ-VLAN-3013,XF-IDZ-PRD-WEB-165.160-27,VLAN 3013,10.17.165.160/27,10.17.165.161,255.255.255.224,10.17.106.6,10.16.7.13,10.16.7.12,xe.abb.com,XF,W. Europe Standard Time
33,DC1B,IDZ,PRODUCTION,DB/IC/ID,xf-s-vcsap01p.xe.abb.com,XF-COMP,XF-DMZCLU1,DMZ,XF_PRIMERA_DL360_DMZ_001/XF_PRIMERA_DMZ_002,iDMZ-VLAN-3014,XF-IDZ-PRD-DBS-165.192-27,VLAN 3014,10.17.165.192/27,10.17.165.193,255.255.255.224,10.17.106.6,10.16.7.13,10.16.7.12,xe.abb.com,XF,W. Europe Standard Time
34,DC1B,IDZ,PRODUCTION,DB/IC/ID,xf-s-vcsap01p.xe.abb.com,XF-COMP,XF-DMZCLU1,DMZ,XF_PRIMERA_DL360_DMZ_001/XF_PRIMERA_DMZ_002,iDMZ-VLAN-3015,XF-IDZ-PRD-DBS-165.224-27,VLAN 3015,10.17.165.224/27,10.17.165.225,255.255.255.224,10.17.106.6,10.16.7.13,10.16.7.12,xe.abb.com,XF,W. Europe Standard Time
35,DC1B,IDZ,PRODUCTION,DB/IC/ID,xf-s-vcsap01p.xe.abb.com,XF-COMP,XF-DMZCLU1,DMZ,XF_PRIMERA_DL360_DMZ_001/XF_PRIMERA_DMZ_002,iDMZ-VLAN-3016,XF-IDZ-PRD-DBS-166.0-27,VLAN 3016,10.17.166.0/27,10.17.166.1,255.255.255.224,10.17.106.6,10.16.7.13,10.16.7.12,xe.abb.com,XF,W. Europe Standard Time
36,DC1B,IDZ,PRODUCTION,DB/IC/ID,xf-s-vcsap01p.xe.abb.com,XF-COMP,XF-DMZCLU1,DMZ,XF_PRIMERA_DL360_DMZ_001/XF_PRIMERA_DMZ_002,iDMZ-VLAN-3017,XF-IDZ-PRD-DBS-166.32-27,VLAN 3017,10.17.166.32/27,10.17.166.33,255.255.255.224,10.17.106.6,10.16.7.13,10.16.7.12,xe.abb.com,XF,W. Europe Standard Time
37,DC1B,IDZ,PRODUCTION,AP/BG/FS/VR/NW/SE/FT/MS/LN/BK/CA,xf-s-vcsap01p.xe.abb.com,XF-COMP,XF-DMZCLU1,DMZ,XF_PRIMERA_DL360_DMZ_001/XF_PRIMERA_DMZ_002,iDMZ-VLAN-3018,XF-IDZ-PRD-APP-166.64-27,VLAN 3018,10.17.166.64/27,10.17.166.65,255.255.255.224,10.17.106.6,10.16.7.13,10.16.7.12,xe.abb.com,XF,W. Europe Standard Time
38,DC1B,IDZ,PRODUCTION,AP/BG/FS/VR/NW/SE/FT/MS/LN/BK/CA,xf-s-vcsap01p.xe.abb.com,XF-COMP,XF-DMZCLU1,DMZ,XF_PRIMERA_DL360_DMZ_001/XF_PRIMERA_DMZ_002,iDMZ-VLAN-3019,XF-IDZ-PRD-APP-166.96-27,VLAN 3019,10.17.166.96/27,10.17.166.97,255.255.255.224,10.17.106.6,10.16.7.13,10.16.7.12,xe.abb.com,XF,W. Europe Standard Time
39,DC1B,IDZ,PRODUCTION,AP/BG/FS/VR/NW/SE/FT/MS/LN/BK/CA,xf-s-vcsap01p.xe.abb.com,XF-COMP,XF-DMZCLU1,DMZ,XF_PRIMERA_DL360_DMZ_001/XF_PRIMERA_DMZ_002,iDMZ-VLAN-3020,XF-IDZ-PRD-APP-166.128-27,VLAN 3020,10.17.166.128/27,10.17.166.129,255.255.255.224,10.17.106.6,10.16.7.13,10.16.7.12,xe.abb.com,XF,W. Europe Standard Time
40,DC1B,IDZ,PRODUCTION,AP/BG/FS/VR/NW/SE/FT/MS/LN/BK/CA,xf-s-vcsap01p.xe.abb.com,XF-COMP,XF-DMZCLU1,DMZ,XF_PRIMERA_DL360_DMZ_001/XF_PRIMERA_DMZ_002,iDMZ-VLAN-3021,XF-IDZ-PRD-APP-166.160-27,VLAN 3021,10.17.166.160/27,10.17.166.161,255.255.255.224,10.17.106.6,10.16.7.13,10.16.7.12,xe.abb.com,XF,W. Europe Standard Time
41,DC1B,IDZ,PRODUCTION,AP/BG/FS/VR/NW/SE/FT/MS/LN/BK/CA,xf-s-vcsap01p.xe.abb.com,XF-COMP,XF-DMZCLU1,DMZ,XF_PRIMERA_DL360_DMZ_001/XF_PRIMERA_DMZ_002,iDMZ-VLAN-3022,XF-IDZ-PRD-APP-166.192-27,VLAN 3022,10.17.166.192/27,10.17.166.193,255.255.255.224,10.17.106.6,10.16.7.13,10.16.7.12,xe.abb.com,XF,W. Europe Standard Time
42,DC1B,IDZ,PRODUCTION,AP/BG/FS/VR/NW/SE/FT/MS/LN/BK/CA,xf-s-vcsap01p.xe.abb.com,XF-COMP,XF-DMZCLU1,DMZ,XF_PRIMERA_DL360_DMZ_001/XF_PRIMERA_DMZ_002,iDMZ-VLAN-3023,XF-IDZ-PRD-APP-166.224-27,VLAN 3023,10.17.166.224/27,10.17.166.225,255.255.255.224,10.17.106.6,10.16.7.13,10.16.7.12,xe.abb.com,XF,W. Europe Standard Time
43,DC1B,IDZ,PRODUCTION,FE/BE,xf-s-vcsap01p.xe.abb.com,XF-COMP,XF-DMZCLU1,DMZ,XF_PRIMERA_DL360_DMZ_001/XF_PRIMERA_DMZ_002,iDMZ-VLAN-3024,XF-IDZ-PRD-WEB-167.0-27,VLAN 3024,10.17.167.0/27,10.17.167.1,255.255.255.224,10.17.106.6,10.16.7.13,10.16.7.12,xe.abb.com,XF,W. Europe Standard Time
44,DC1B,IDZ,PRODUCTION,FE/BE,xf-s-vcsap01p.xe.abb.com,XF-COMP,XF-DMZCLU1,DMZ,XF_PRIMERA_DL360_DMZ_001/XF_PRIMERA_DMZ_002,iDMZ-VLAN-3025,XF-IDZ-PRD-WEB-167.32-27,VLAN 3025,10.17.167.32/27,10.17.167.33,255.255.255.224,10.17.106.6,10.16.7.13,10.16.7.12,xe.abb.com,XF,W. Europe Standard Time
45,DC1B,IDZ,PRODUCTION,FE/BE,xf-s-vcsap01p.xe.abb.com,XF-COMP,XF-DMZCLU1,DMZ,XF_PRIMERA_DL360_DMZ_001/XF_PRIMERA_DMZ_002,iDMZ-VLAN-3026,XF-IDZ-PRD-WEB-167.64-27,VLAN 3026,10.17.167.64/27,10.17.167.65,255.255.255.224,10.17.106.6,10.16.7.13,10.16.7.12,xe.abb.com,XF,W. Europe Standard Time
46,DC1B,IDZ,PRODUCTION,FE/BE,xf-s-vcsap01p.xe.abb.com,XF-COMP,XF-DMZCLU1,DMZ,XF_PRIMERA_DL360_DMZ_001/XF_PRIMERA_DMZ_002,iDMZ-VLAN-3027,XF-IDZ-PRD-WEB-167.96-27,VLAN 3027,10.17.167.96/27,10.17.167.97,255.255.255.224,10.17.106.6,10.16.7.13,10.16.7.12,xe.abb.com,XF,W. Europe Standard Time
47,DC1B,IDZ,STAGE,FE/BE,xf-s-vcsap01p.xe.abb.com,XF-COMP,XF-DMZCLU1,DMZ,XF_PRIMERA_DL360_DMZ_001/XF_PRIMERA_DMZ_002,iDMZ-VLAN-3028,XF-IDZ-STG-WEB-167.128-27,VLAN 3028,10.17.167.128/27,10.17.167.129,255.255.255.224,10.17.106.6,10.16.7.13,10.16.7.12,xe.abb.com,XF,W. Europe Standard Time
48,DC1B,IDZ,STAGE,FE/BE,xf-s-vcsap01p.xe.abb.com,XF-COMP,XF-DMZCLU1,DMZ,XF_PRIMERA_DL360_DMZ_001/XF_PRIMERA_DMZ_002,iDMZ-VLAN-3029,XF-IDZ-STG-WEB-167.160-27,VLAN 3029,10.17.167.160/27,10.17.167.161,255.255.255.224,10.17.106.6,10.16.7.13,10.16.7.12,xe.abb.com,XF,W. Europe Standard Time
49,DC1B,IDZ,STAGE,FE/BE,xf-s-vcsap01p.xe.abb.com,XF-COMP,XF-DMZCLU1,DMZ,XF_PRIMERA_DL360_DMZ_001/XF_PRIMERA_DMZ_002,iDMZ-VLAN-3030,XF-IDZ-STG-WEB-167.192-27,VLAN 3030,10.17.167.192/27,10.17.167.193,255.255.255.224,10.17.106.6,10.16.7.13,10.16.7.12,xe.abb.com,XF,W. Europe Standard Time
50,DC1B,IDZ,STAGE,FE/BE,xf-s-vcsap01p.xe.abb.com,XF-COMP,XF-DMZCLU1,DMZ,XF_PRIMERA_DL360_DMZ_001/XF_PRIMERA_DMZ_002,iDMZ-VLAN-3031,XF-IDZ-STG-WEB-167.224-27,VLAN 3031,10.17.167.224/27,10.17.167.225,255.255.255.224,10.17.106.6,10.16.7.13,10.16.7.12,xe.abb.com,XF,W. Europe Standard Time
51,DC1B,IDZ,STAGE,AP/BG/FS/VR/NW/SE/FT/MS/LN/BK/CA,xf-s-vcsap01p.xe.abb.com,XF-COMP,XF-DMZCLU1,DMZ,XF_PRIMERA_DL360_DMZ_001/XF_PRIMERA_DMZ_002,iDMZ-VLAN-3032,XF-IDZ-STG-APP-168.0-27,VLAN 3032,10.17.168.0/27,10.17.168.1,255.255.255.224,10.17.106.6,10.16.7.13,10.16.7.12,xe.abb.com,XF,W. Europe Standard Time
52,DC1B,IDZ,STAGE,AP/BG/FS/VR/NW/SE/FT/MS/LN/BK/CA,xf-s-vcsap01p.xe.abb.com,XF-COMP,XF-DMZCLU1,DMZ,XF_PRIMERA_DL360_DMZ_001/XF_PRIMERA_DMZ_002,iDMZ-VLAN-3033,XF-IDZ-STG-APP-168.32-27,VLAN 3033,10.17.168.32/27,10.17.168.33,255.255.255.224,10.17.106.6,10.16.7.13,10.16.7.12,xe.abb.com,XF,W. Europe Standard Time
53,DC1B,IDZ,STAGE,AP/BG/FS/VR/NW/SE/FT/MS/LN/BK/CA,xf-s-vcsap01p.xe.abb.com,XF-COMP,XF-DMZCLU1,DMZ,XF_PRIMERA_DL360_DMZ_001/XF_PRIMERA_DMZ_002,iDMZ-VLAN-3034,XF-IDZ-STG-APP-168.64-27,VLAN 3034,10.17.168.64/27,10.17.168.65,255.255.255.224,10.17.106.6,10.16.7.13,10.16.7.12,xe.abb.com,XF,W. Europe Standard Time
54,DC1B,IDZ,STAGE,AP/BG/FS/VR/NW/SE/FT/MS/LN/BK/CA,xf-s-vcsap01p.xe.abb.com,XF-COMP,XF-DMZCLU1,DMZ,XF_PRIMERA_DL360_DMZ_001/XF_PRIMERA_DMZ_002,iDMZ-VLAN-3035,XF-IDZ-STG-APP-168.96-27,VLAN 3035,10.17.168.96/27,10.17.168.97,255.255.255.224,10.17.106.6,10.16.7.13,10.16.7.12,xe.abb.com,XF,W. Europe Standard Time
55,DC1B,IDZ,STAGE,DB/IC/ID,xf-s-vcsap01p.xe.abb.com,XF-COMP,XF-DMZCLU1,DMZ,XF_PRIMERA_DL360_DMZ_001/XF_PRIMERA_DMZ_002,iDMZ-VLAN-3036,XF-IDZ-STG-DBS-168.128-27,VLAN 3036,10.17.168.128/27,10.17.168.129,255.255.255.224,10.17.106.6,10.16.7.13,10.16.7.12,xe.abb.com,XF,W. Europe Standard Time
56,DC1B,IDZ,STAGE,DB/IC/ID,xf-s-vcsap01p.xe.abb.com,XF-COMP,XF-DMZCLU1,DMZ,XF_PRIMERA_DL360_DMZ_001/XF_PRIMERA_DMZ_002,iDMZ-VLAN-3037,XF-IDZ-STG-DBS-168.160-27,VLAN 3037,10.17.168.160/27,10.17.168.161,255.255.255.224,10.17.106.6,10.16.7.13,10.16.7.12,xe.abb.com,XF,W. Europe Standard Time
57,DC1B,IDZ,STAGE,DB/IC/ID,xf-s-vcsap01p.xe.abb.com,XF-COMP,XF-DMZCLU1,DMZ,XF_PRIMERA_DL360_DMZ_001/XF_PRIMERA_DMZ_002,iDMZ-VLAN-3038,XF-IDZ-STG-DBS-168.192-27,VLAN 3038,10.17.168.192/27,10.17.168.193,255.255.255.224,10.17.106.6,10.16.7.13,10.16.7.12,xe.abb.com,XF,W. Europe Standard Time
58,DC1B,IDZ,STAGE,DB/IC/ID,xf-s-vcsap01p.xe.abb.com,XF-COMP,XF-DMZCLU1,DMZ,XF_PRIMERA_DL360_DMZ_001/XF_PRIMERA_DMZ_002,iDMZ-VLAN-3039,XF-IDZ-STG-DBS-168.224-27,VLAN 3039,10.17.168.224/27,10.17.168.225,255.255.255.224,10.17.106.6,10.16.7.13,10.16.7.12,xe.abb.com,XF,W. Europe Standard Time
